pseudonym,condition,skewing,target,trend,comparison2,explevel,experience,meanscore,highestscore,rounds,selfesteem,imi,vgse,scolevel,sco,age,sex,education
 c6f1ce67-17ec-11f1-e282-20ca32c76a7c,0,0,1,0,19,0,2,2,5,8,4,4,3.1,,3,37,Female,Some college
 5d2c3153-fd4c-ac39-dc2d-18b7e5350192,7,,0,1,127,0,2,1.307692308,11,13,4,2.5,2.3,,3,49,Female,Some college
 a082b89b-e0c2-d225-a7bb-6e2a0031995d,2,0,2,0,19,0,2,1,1,1,5,1.625,4.2,,3.166666667,26,Female,College graduate
 34b80f5c-d009-de17-f11d-c58f3fc707dc,5,1,2,0,19,0,2,2.571428571,8,14,4,5,4,,3.166666667,42,Female,Some college
 5cfa9057-e8f6-8569-4935-177a86903855,5,1,2,0,19,0,2,2.777777778,8,45,6,4,4,,3.166666667,44,Female,Some college
 e8e492ea-5c9e-284f-056d-2ded8b54e2ba,3,1,1,0,19,0,2,4,10,10,1,2.5,2,,3.166666667,38,Female,Some graduate school
 439d3167-76dc-481f-9805-c3fd8e88a45b,5,1,2,0,19,0,2,5.586956522,12,46,6,4.875,4.6,,3.166666667,37,Male,Graduate degree
 f5bb2b28-1d38-fb9e-f474-4ae67f8a7c82,6,,1,1,19,0,2,1,4,3,6,4.875,4.6,,3.333333333,40,Male,Some college
 7d07cb35-f12b-9a61-1e07-fb7bb91c7737,4,1,0,0,127,0,2,2.076923077,4,13,3,3.625,2.5,,3.333333333,44,Female,Graduate degree
 10f16f9e-2e8d-ad4b-0508-891dd9d8d088,0,0,1,0,19,0,2,2.75,4,8,6,2.375,4,,3.333333333,48,Female,Graduate degree
 73fdbb7d-3817-cd69-6ba7-187dc91fda1e,3,1,1,0,19,0,2,2.181818182,5,22,3,2.25,2.9,,3.333333333,31,Female,Some college
 777c7cd6-48d3-1f02-f2e5-04ed2ea943f9,3,1,1,0,19,0,2,1.666666667,7,12,5,4.125,2.5,,3.333333333,38,Female,College graduate
 97541d9d-d118-7075-89cc-1c98ff39485b,2,0,2,0,19,0,2,4.428571429,8,7,4,4.75,3.5,,3.333333333,38,Female,College graduate
 cda2949c-b4bf-20f1-7cfb-b94349f2f783,0,0,1,0,19,0,2,3,20,108,4,4.25,3,,3.333333333,24,Female,College graduate
 33c0bed1-320a-70cb-06fe-942cb4d4d3db,0,0,1,0,19,0,2,22,36,3,5,4.25,5.1,,3.333333333,37,Male,Graduate degree
 1b65129c-f4d4-e8d6-f436-6e3353d3cc1e,5,1,2,0,19,0,2,0.578947368,3,18,3,4.125,4,,3.5,26,Female,High school
 ba427e7e-bdfb-93fe-5910-43cff7337310,2,0,2,0,19,0,2,3.076923077,5,13,6,6.875,4.6,,3.5,22,Female,High school
 9cd6f078-4eb5-91ee-ddeb-c51f6a5fe50d,0,0,1,0,19,0,2,0.222222222,1,9,7,3,2.7,,3.666666667,46,Female,College graduate
 86f9bff9-f08e-cf39-eb7d-7aaefb48d62e,3,1,1,0,19,0,2,0.666666667,1,5,2,1.25,4.1,,3.666666667,45,Male,College graduate
 cd69c59b-aa40-4778-ef4d-45b0a7ab9070,2,0,2,0,19,0,2,0.785714286,2,13,3,2.75,3.7,,3.666666667,30,Female,Some college
 a0d43bc5-413a-cc7f-6e12-439f15d9d8f2,4,1,0,0,127,0,2,0.75,3,7,5,4,3.1,,3.666666667,61,Female,College graduate
 59370ac6-489e-ce7d-edcb-0ef197cdcac8,1,0,0,0,127,0,2,0.714285714,4,7,4,4,4.1,,3.666666667,43,Male,Graduate degree
 0eadd29d-717f-b883-3983-bb0dfd688625,0,0,1,0,19,0,2,7,20,4,4,4,4,,3.666666667,23,Male,College graduate
 7257fd27-9036-00d9-daeb-53357b00f0e4,8,,2,1,19,0,2,21.8,44,5,7,4,3.5,,3.666666667,32,Male,Graduate degree
 daaada38-e92c-2a88-817e-70fda88bf86a,1,0,0,0,127,0,2,0.714285714,2,6,3,2.125,4.8,,3.833333333,48,Female,Some college
 87375bad-d789-2c16-30c0-7ea17c97f5b8,0,0,1,0,19,0,2,0.705882353,4,17,5,4.5,3.7,,3.833333333,63,Female,Graduate degree
 9d24766c-95a3-fe9e-c50e-c610b11651f1,2,0,2,0,19,0,2,1.714285714,4,7,5,4.125,3.4,,3.833333333,35,Female,College graduate
 90fe0c8b-93b4-d057-a4a4-5c8959109d9b,7,,0,1,127,0,2,1.277777778,6,17,3,5.625,4.3,,3.833333333,53,Female,Vocational training
 2f09eac1-b1de-61f9-5fed-20ca6d3013a5,6,,1,1,19,0,2,2.8,6,5,5,4,4.6,,3.833333333,26,Female,College graduate
 7154c9cf-701f-ded7-a93a-d03a837a13b5,0,0,1,0,19,0,2,1.153846154,3,13,4,3.5,4.5,1,4,56,Male,High school
 5916f357-5f90-dfff-a239-cb2e8d967b39,2,0,2,0,19,0,2,1.666666667,6,50,3,3.625,2.2,1,4,32,Female,Vocational training
 82fac052-3344-d421-3a48-f54c3eb0531c,3,1,1,0,19,0,2,6.780487805,26,41,6,6.5,3.8,1,4,39,Female,Vocational training
 47245d7c-989a-fab4-27b1-531fd67da453,8,,2,1,19,0,2,22.16666667,64,6,5,5.125,4.5,1,4,32,Female,College graduate
 7df8e14d-a49f-ffd8-533d-f69a52e10d28,0,0,1,0,19,0,2,0.5,2,7,7,1,2.1,1,4.166666667,27,Male,Graduate degree
 d7900d4e-46d2-dde5-09e1-01ba9ca426f1,7,,0,1,127,0,2,2,7,4,1,2.75,3.7,1,4.166666667,35,Female,Some college
 7d71d7a1-cfb0-98f2-1d1f-2766d9d76f38,3,1,1,0,19,0,2,1.5,4,8,2,2.75,2.1,1,4.333333333,23,Female,College graduate
 a92b0db0-9d92-0e67-c536-9e8d45933396,0,0,1,0,19,0,2,0.4,2,4,5,1,1.2,1,4.5,32,Female,College graduate
 715674a8-89b1-1790-3a84-4d8a76156d27,7,,0,1,127,,3,3.125,9,7,7,4.625,5.3,0,1,47,Male,College graduate
 9e6a23a1-ea6c-e015-3fc7-52795a254310,4,1,0,0,127,,3,8.333333333,21,6,5,6.375,5.3,0,1,24,Female,College graduate
 767cda06-732c-c0e3-1339-0d8ff2bcb882,0,0,1,0,127,,3,16.33333333,42,3,7,4.875,4.9,0,1.166666667,30,Male,College graduate
 66e64b4a-b21b-fe50-575f-cac930672e0c,1,0,0,0,127,,3,7.5,15,2,7,4.375,5,0,1.333333333,31,Female,Some college
 242d518b-7cc1-e2dd-6385-d7a6dba538a5,4,1,0,0,127,,3,1.333333333,4,6,5,2.75,2.3,0,1.5,45,Female,Some college
 dc04c768-5b37-727e-bf3c-b347a71e3436,3,1,1,0,127,,3,35,37,2,7,4.25,4.6,0,1.5,53,Female,Some college
 ff4f50f5-0d83-b690-d597-431b725da46c,2,0,2,0,127,,3,0.391304348,4,23,7,2.5,4.3,0,1.666666667,65,Male,College graduate
 d51b38f6-f855-0231-9b60-03da6e6bb509,3,1,1,0,127,,3,2.2,6,10,7,5.125,4.4,0,1.666666667,38,Female,College graduate
 4ccfce15-6027-3374-ee4c-3acf20814d9c,0,0,1,0,127,,3,0.4,2,10,7,5.125,6,0,1.833333333,49,Male,Graduate degree
 2e3af6ac-129f-be2f-9751-5f20c96127d9,6,,1,1,127,,3,1.5,4,6,6,3.625,4.4,0,1.833333333,26,Female,College graduate
 6cc5c260-e32c-da61-9a2d-c96ab1f6f31d,5,1,2,0,127,,3,5,15,20,6,3.625,4.3,0,1.833333333,34,Female,Graduate degree
 3165ff70-6fb6-0a7a-fb28-de11566640ec,4,1,0,0,127,,3,10.33333333,15,3,6,5.25,5,0,1.833333333,42,Female,Vocational training
 3fcf21f3-19f8-01e7-0267-32c8829901b6,5,1,2,0,127,,3,1,1,3,7,4.5,4,0,2,32,Female,College graduate
 699c4ac7-a890-e272-a75b-09661bdff668,3,1,1,0,127,,3,0.428571429,1,7,6,4.25,4,0,2,41,Male,College graduate
 0ecec5b7-02b4-97bd-e1f4-f896129d31da,0,0,1,0,127,,3,1,2,3,6,1.375,2.3,0,2,61,Female,College graduate
 2ac6b5e7-5f06-aa9f-e476-9da4d352649a,5,1,2,0,127,,3,0.75,2,4,6,3.375,4,0,2,21,Male,High school
 1d894b71-58ae-c385-798b-71840028206b,1,0,0,0,127,,3,3.333333333,5,3,5,3,3,0,2,31,Female,High school
 36992116-1f2f-c48a-ecc9-f84a6052c043,6,,1,1,127,,3,1.666666667,5,8,5,2.25,3,0,2,39,Male,Some graduate school
 63171864-ee3b-860f-f5fc-bf299d4a0663,8,,2,1,127,,3,2.25,5,4,4,3.125,3.4,0,2,29,Female,College graduate
 6f33c980-b397-ac51-6236-269c5a0d4a35,4,1,0,0,127,,3,1.043478261,5,23,1,2.75,4.8,0,2,29,Female,College graduate
 e4536897-5d6e-54c9-1f86-642d541743ff,8,,2,1,127,,3,2.888888889,8,8,6,6,5,0,2,19,Female,High school
 26dc9b60-8b17-e611-9344-3ae116456f0a,3,1,1,0,127,,3,6.5,9,1,7,6,6,0,2,21,Male,Some college
 181f658f-89b5-6d6e-78dc-c4de36cee720,3,1,1,0,127,,3,4.166666667,11,5,5,6.125,4.4,0,2,50,Female,High school
 dfdc8c14-e62e-a24d-0a69-5bc54f831589,7,,0,1,127,,3,5.25,17,4,6,5.125,4.1,0,2,35,Male,Some college
 494d9e48-c71a-d4b7-a768-993580d47d3e,8,,2,1,127,,3,17.4,38,5,6,4.25,3.6,0,2,27,Female,College graduate
 269b1abd-35d5-66e1-c97d-de036eb82024,6,,1,1,127,,3,22.8,74,5,6,5,4,0,2,54,Female,High school
 ffa4f4bf-aa66-5f29-487f-fac05271978a,8,,2,1,127,,3,0.25,1,3,4,3.625,3.1,,2.166666667,27,Female,Some college
 34bbf297-9563-8547-d79b-2b446a8948c5,2,0,2,0,127,,3,0.5,2,6,5,3.5,3.8,,2.166666667,51,Female,Some college
 584353a7-b40a-2f4f-1f7a-ef708ac893cf,2,0,2,0,127,,3,0.333333333,2,9,7,3.875,4,,2.166666667,42,Female,Graduate degree
 8e926459-9b77-72bd-25fb-136ba46d7a2d,8,,2,1,127,,3,0.5,3,12,5,3.875,3.5,,2.166666667,69,Female,Some college
 a6fa55eb-5aea-242f-7f35-30baeeebf861,4,1,0,0,127,,3,0.75,3,4,3,3.5,3.5,,2.166666667,26,Female,College graduate
 897beb69-c984-7a8d-a7d2-32b2615f4617,1,0,0,0,127,,3,1.4,6,14,6,4.25,4.2,,2.166666667,44,Female,High school
 a9361a71-4940-78bd-3276-86174bfedbe9,6,,1,1,127,,3,2.764705882,12,50,2,3.25,4.3,,2.166666667,30,Male,Some graduate school
 a023da6d-a9e2-2024-4b60-d0a1736e019e,8,,2,1,127,,3,1.6,3,4,7,3.75,3.7,,2.333333333,42,Female,Some college
 38d6fef2-c79e-4007-a3ed-4f73c2837c25,6,,1,1,127,,3,1.3,6,9,6,3,2.5,,2.333333333,52,Male,College graduate
 ac750563-af99-f979-46ce-3b9d353b98fa,3,1,1,0,127,,3,2.2,6,10,7,4.875,2.9,,2.333333333,27,Male,College graduate
 2deb1533-1a8c-b5fd-6803-b55bebb78486,7,,0,1,127,,3,2.166666667,7,6,2,2.625,1,,2.333333333,24,Female,Some college
 02ee9552-960a-5d60-8887-adb2740b0e83,1,0,0,0,127,,3,6.333333333,11,3,3,3,3.7,,2.333333333,23,Female,Vocational training
 a556db25-c7c9-0d12-8345-e176c2ae2a47,0,0,1,0,127,,3,2.272727273,11,10,6,4.375,3.9,,2.333333333,38,Male,High school
 3e8a86dc-7f16-880d-4cf5-6a8c718ba478,4,1,0,0,127,,3,10.33333333,16,2,5,5.375,4.6,,2.333333333,26,Male,College graduate
 5fca6d81-6dc8-fa10-f113-0cf5d199e94e,7,,0,1,127,,3,3.8125,27,31,2,3.125,3.8,,2.333333333,28,Male,Some college
 132f4d06-3d85-d982-ffe2-3e9502b8507f,2,0,2,0,127,,3,0.818181818,2,10,5,2.285714286,3.1,,2.5,45,Male,Some college
 1b71e12e-5d50-3653-2356-c1e63e8c5d80,2,0,2,0,127,,3,0.75,3,4,5,4.625,3.1,,2.5,45,Male,Some college
 812f693b-7ce4-1eeb-ad56-077561f65dc1,1,0,0,0,127,,3,0.714285714,3,7,4,4.25,2.7,,2.5,24,Female,Some college
 ecd81939-ada7-4eb2-ac42-2602104085f5,5,1,2,0,127,,3,1.4,5,10,6,2.75,4.5,,2.5,27,Male,College graduate
 56c9580b-ee9a-ba64-b09c-be4f90887ecb,1,0,0,0,127,,3,19.5,39,2,1,4.125,4.3,,2.5,28,Male,College graduate
 07fc9505-6858-0ecf-13a7-1fd5f0eea305,6,,1,1,127,,3,141,141,1,5,5.5,5.9,,2.5,28,Male,College graduate
 7d17278e-f56e-9425-096b-76bc6f5ff57c,4,1,0,0,127,,3,0.714285714,2,7,4,3.25,4.3,,2.666666667,39,Female,College graduate
 588e5a38-da8b-37e1-3739-d2a7804ab076,8,,2,1,127,,3,9.25,19,3,4,5.25,4.8,,2.666666667,32,Female,Some college
 e6b1a725-2f5d-f5f2-e703-58f3e9f87108,3,1,1,0,127,,3,19.8,44,5,5,4.625,5.8,,2.666666667,28,Male,College graduate
 ab87bd63-a1ba-8e06-d712-7cce2faf7988,4,1,0,0,127,,3,3.166666667,9,6,7,4.625,5.2,,2.833333333,27,Male,College graduate
 4e395b8b-6d3f-4441-37fc-090f0dd94bbc,8,,2,1,127,,3,7,12,2,3,1.75,2.9,,2.833333333,23,Male,Some college
 3d25519a-fba1-07c4-ae88-24260c1e1e72,4,1,0,0,127,,3,15.5,17,2,4,6,5.1,,2.833333333,57,Male,Some college
 c8edc4b3-b2c6-cbe8-8ec8-13cafe1228c9,4,1,0,0,127,,3,0.2,2,9,7,7,6,,3,29,Female,Some college
 1a4abdbc-f603-bb7c-baf6-cd48185fab4c,3,1,1,0,127,,3,1,3,6,7,4.875,4.6,,3,40,Male,Graduate degree
 a7f96a95-b83c-af1a-8bdb-2a46748ef4a5,3,1,1,0,127,,3,2,4,3,4,1,2,,3,29,Female,College graduate
 6c189ade-91a6-24c5-147c-5b347777c80b,0,0,1,0,127,,3,2.125,6,8,6,4,3.3,,3,35,Female,Graduate degree
 f066afba-a878-9084-6d4a-1846454c48a4,7,,0,1,127,,3,1.307692308,6,12,4,4.125,3.6,,3,34,Male,Graduate degree
 4f753875-5622-5e24-632a-31f2bd44f8f5,1,0,0,0,127,,3,3,9,5,4,4.125,5,,3,21,Female,Some college
 b126a852-eff8-1ade-8169-5882b776310d,7,,0,1,127,,3,9.571428571,18,7,4,4,3.7,,3,23,Female,College graduate
 eb950bbc-b398-be8a-ccb4-61c38c1bb07f,6,,1,1,127,,3,13.33333333,29,3,6,6,3,,3,28,Female,High school
 4139a7f0-db11-f581-ffb2-ce0670ec4616,2,0,2,0,127,,3,7.522727273,35,44,5,4.625,3.4,,3,49,Female,College graduate
 1e53f552-dd93-aaa7-3ab7-7395782d1122,7,,0,1,127,,3,16.7,61,10,4,5.375,4.4,,3,28,Male,College graduate
 675c9530-570f-ab7d-f5a9-f3cb86cfca04,0,0,1,0,127,,3,0.545454545,2,10,5,2.25,2.8,,3.166666667,59,Male,Some college
 8ea9abff-c8d1-9f1f-1091-f015eb94f3a4,7,,0,1,127,,3,1.625,7,8,5,4.25,4.6,,3.166666667,35,Male,Some college
 53116aa4-0bb4-27b9-6dcd-4d896a48b193,6,,1,1,127,,3,5,12,2,4,4.625,4.3,,3.166666667,23,Male,High school
 fed7585b-7b33-bd80-cd97-7395c0ee7a90,5,1,2,0,127,,3,0.28,2,49,7,4,3.1,,3.333333333,49,Female,Some college
 a6c137cd-e428-3ff9-4dcb-508b45eeaf80,6,,1,1,127,,3,3.142857143,8,6,6,3.625,4.4,,3.333333333,44,Male,College graduate
 6e414e8f-f9c7-d31e-2f9b-10af124b62d1,5,1,2,0,127,,3,4.444444444,12,9,3,3.875,4.3,,3.333333333,23,Female,High school
 07f17b7a-6c9b-2e92-0c9d-6646198c5e4b,0,0,1,0,127,,3,4.846153846,15,12,6,5.125,4,,3.333333333,40,Male,High school
 103c5ea3-7697-08cd-a07b-9eb18c4697c1,5,1,2,0,127,,3,5.227272727,21,21,4,5.875,4.4,,3.333333333,25,Female,Vocational training
 36b5187a-ef79-02b9-0360-b40058ed355b,8,,2,1,127,,3,16,22,2,3,3.625,2.2,,3.333333333,28,Female,Some college
 be04f8c0-96c6-3183-41c5-2e45d1be205e,7,,0,1,127,,3,6.636363636,26,11,5,4.5,4,,3.333333333,34,Male,Some college
 532161d3-dbde-5f01-2057-6c042fb76698,6,,1,1,127,,3,46.5,76,2,6,6.5,3.8,,3.333333333,25,Female,Some college
 8df667d7-8f70-5eb1-3d84-a0c50392a0f7,6,,1,1,127,,3,1.166666667,3,12,6,5.25,5.2,,3.5,28,Male,High school
 f630189f-520d-d65c-5a1a-0e254ab03b84,6,,1,1,127,,3,1,3,3,6,4,3.9,,3.5,25,Male,College graduate
 d8ba4fd5-a4fb-ec42-5518-c1e3e7094647,7,,0,1,127,,3,8,8,1,4,2,4.1,,3.5,28,Female,Vocational training
 9b91a611-2c1a-3cdc-5aaa-81ca19bde0eb,8,,2,1,127,,3,2.4375,10,32,6,4.125,4.1,,3.5,30,Male,High school
 7eddf452-d7b8-fce9-5496-c98d6c9c8204,8,,2,1,127,,3,4.5,12,9,4,1.125,3.9,,3.5,27,Female,College graduate
 0e346f57-a54a-606d-6a4f-6279833d2d4d,5,1,2,0,127,,3,1.571428571,5,6,2,4.75,3.6,,3.666666667,25,Male,College graduate
 ac3698d9-fce5-a8b1-920a-fd3641e39e48,8,,2,1,127,,3,1.272727273,5,9,4,3.5,3.9,,3.666666667,30,Female,High school
 955b2ada-2ec3-7594-0a75-9c9fc9324a92,1,0,0,0,127,,3,5,6,4,6,6.25,4.9,,3.666666667,33,Male,Some college
 a6f1623a-5859-8112-ddb9-a53551dd1d73,0,0,1,0,127,,3,3.75,6,4,5,3.875,4.2,,3.666666667,21,Female,College graduate
 5da5da01-985f-0daf-3e61-7ac654cc0e3e,0,0,1,0,127,,3,3.705882353,10,17,5,4,5.1,,3.666666667,33,Female,Some college
 ec392cb7-819f-389f-f1fb-ab6db96849d9,2,0,2,0,127,,3,3.857142857,18,6,6,3.625,5.2,,3.666666667,39,Male,Some college
 e555f92e-e4db-7ca7-78b8-515bf850a8c1,4,1,0,0,127,,3,8.5,20,4,2,4.5,5,,3.666666667,23,Male,High school
 24dc1cad-aa7a-a44f-62d8-b60468e9fc31,7,,0,1,127,,3,7.272727273,23,11,3,2.625,3.3,,3.666666667,31,Male,Some graduate school
 42d5148a-a1af-58d8-694b-d8abf871e229,5,1,2,0,127,,3,10.57142857,27,7,2,5.75,4.5,,3.666666667,28,Male,College graduate
 06ffc5c6-2100-6469-e432-d51b3261664f,5,1,2,0,127,,3,0.75,2,8,5,4,5.1,,3.833333333,26,Male,High school
 9d615994-20e4-929d-f682-a0317edfa9e4,4,1,0,0,127,,3,0.166666667,2,18,5,1,3.3,,3.833333333,56,Female,College graduate
 45e3ca18-b523-7c02-2a38-d4337a80fbea,2,0,2,0,127,,3,0.6,3,4,5,3.375,3.5,,3.833333333,25,Female,Graduate degree
 da882423-5529-d78f-d0df-f51f06c8dd60,3,1,1,0,127,,3,2,4,2,3,2.875,5,,3.833333333,35,Male,Some college
 b722ff2f-b293-335e-f785-c7474e9a18ff,4,1,0,0,127,,3,2.666666667,6,6,4,3.75,4.2,,3.833333333,33,Female,Graduate degree
 21d50325-8135-03a3-4596-eb74f6fc490e,4,1,0,0,127,,3,2.222222222,7,9,5,4.625,4.5,,3.833333333,37,Female,Graduate degree
 02225bcf-0d88-19b2-ba35-87d75b9c2a67,4,1,0,0,127,,3,4.444444444,22,9,5,4.25,4.1,,3.833333333,32,Male,College graduate
 75312c5d-baea-c508-1425-1bf59073a85e,0,0,1,0,127,,3,0.8,2,5,5,2.25,2,1,4,29,Female,College graduate
 3ae3665f-0705-7e50-284e-c844b04e4c9c,6,,1,1,127,,3,0.888888889,3,9,4,1.5,2.3,1,4,54,Female,Some college
 ace79dc4-91c9-c5c5-00c1-4f57e1974eb5,4,1,0,0,127,,3,0.6,3,5,6,4.75,4,1,4,19,Female,Some college
 b4b67ee3-c941-62d6-3352-946da2f4e5ad,1,0,0,0,127,,3,0.571428571,3,14,5,2.75,2.2,1,4,66,Female,Some college
 c930ac9a-7d85-7ca2-fc24-51c12c4ce726,6,,1,1,127,,3,0.9,4,10,5,3.125,2,1,4,38,Female,College graduate
 c73675ce-2952-4da5-8644-5e9440880475,8,,2,1,127,,3,3.4,5,5,5,5.5,6,1,4,23,Male,Some college
 3fa7572a-ef1b-57e9-809c-9d8b2be0d74c,0,0,1,0,127,,3,2.545454545,7,11,5,4.125,4,1,4,27,Female,College graduate
 4f675cad-362e-f543-c3b1-bf876bd89b81,1,0,0,0,127,,3,3.363636364,9,11,2,3.25,4,1,4,28,Male,College graduate
 b4c895c2-9718-a583-19db-2ba3592704c3,4,1,0,0,127,,3,1.769230769,9,13,5,4,3.9,1,4,41,Female,Some college
 40e3fbd6-cbcd-e55e-7a75-db60a4f0bb7a,0,0,1,0,127,,3,3.3,11,20,6,3.125,4.8,1,4,44,Male,Some college
 5d5f7f59-3831-eed2-669b-73578c18e9cd,0,0,1,0,127,,3,4.5,12,3,5,4.875,3.3,1,4,57,Female,Some college
 6003d0ef-a341-5070-e6dd-f1e205126141,7,,0,1,127,,3,11.4,21,5,7,4.5,4,1,4,38,Male,College graduate
 d01dd9f1-0e95-0e02-db5c-ff8db90a69be,2,0,2,0,127,,3,15.2,38,10,7,6.75,4.9,1,4,31,Female,High school
